patient_id,patient
PAT143334,PAT1401366
PAT143335,PAT1401367
PAT143336,PAT1401368
PAT143337,PAT1401369
PAT143338,PAT1401370
PAT143339,PAT1401371
PAT143340,PAT1401372
PAT143341,PAT1401373
PAT143342,PAT1401374
PAT143343,PAT1401375
PAT143344,PAT1401376
PAT143345,PAT1401377
PAT143346,PAT1401378
PAT143347,PAT1401379
PAT143348,PAT1401380
PAT143349,PAT1401381
PAT143350,PAT1401382
PAT143351,PAT1401383
PAT143352,PAT1401384
PAT143353,PAT1401385
PAT143354,PAT1401386
PAT143355,PAT1401387
PAT143356,PAT1401388
PAT143357,PAT1401389
PAT143358,PAT1401390
PAT143359,PAT1401391
PAT143360,PAT1401392
PAT143361,PAT1401393
PAT143362,PAT1401394
PAT143363,PAT1401395
PAT143364,PAT1401396
PAT143365,PAT1401397
PAT143366,PAT1401398
PAT143367,PAT1401399
PAT143368,PAT1401400
PAT143369,PAT1401401
PAT143370,PAT1401402
PAT143371,PAT1401403
PAT143372,PAT1401404
PAT143373,PAT1401405
PAT143374,PAT1401406
PAT143375,PAT1401407
PAT143376,PAT1401408
PAT143377,PAT1401409
PAT143378,PAT1401410
PAT143379,PAT1401411
PAT143380,PAT1401412
PAT143381,PAT1401413
PAT143382,PAT1401414
PAT143383,PAT1401415
PAT143384,PAT1401416
PAT143385,PAT1401417
PAT143386,PAT1401418
PAT143387,PAT1401419
PAT143388,PAT1401420
PAT143389,PAT1401421
PAT143390,PAT1401422
PAT143391,PAT1401423
PAT143392,PAT1401424
PAT143393,PAT1401425
PAT143394,PAT1401426
PAT143395,PAT1401427
PAT143396,PAT1401428
PAT143397,PAT1401429
PAT143398,PAT1401430
PAT143399,PAT1401431
PAT143400,PAT1401432
PAT143401,PAT1401433
PAT143402,PAT1401434
PAT143403,PAT1401435
PAT143404,PAT1401436
PAT143405,PAT1401437
PAT143406,PAT1401438
PAT143407,PAT1401439
PAT143408,PAT1401440
PAT143409,PAT1401441
PAT143410,PAT1401442
PAT143411,PAT1401443
PAT143412,PAT1401444
PAT143413,PAT1401445
PAT143414,PAT1401446
PAT143415,PAT1401447
PAT143416,PAT1401448
PAT143417,PAT1401449
PAT143418,PAT1401450
PAT143419,PAT1401451
PAT143420,PAT1401452
PAT143421,PAT1401453
PAT143422,PAT1401454
PAT143423,PAT1401455
PAT143424,PAT1401456
PAT143425,PAT1401457
PAT143426,PAT1401458
PAT143427,PAT1401459
PAT143428,PAT1401460
PAT143429,PAT1401461
PAT143430,PAT1401462
PAT143431,PAT1401463
PAT143432,PAT1401464
PAT143433,PAT1401465
PAT143434,PAT1401466
PAT143435,PAT1401467
PAT143436,PAT1401468
PAT143437,PAT1401469
PAT143438,PAT1401470
PAT143439,PAT1401471
PAT143440,PAT1401472
PAT143441,PAT1401473
PAT143442,PAT1401474
PAT143443,PAT1401475
PAT143444,PAT1401476
PAT143445,PAT1401477
PAT143446,PAT1401478
PAT143447,PAT1401479
PAT143448,PAT1401480
PAT143449,PAT1401481
PAT143450,PAT1401482
PAT143451,PAT1401483
PAT143452,PAT1401484
PAT143453,PAT1401485
PAT143454,PAT1401486
PAT143455,PAT1401487
PAT143456,PAT1401488
PAT143457,PAT1401489
PAT143458,PAT1401490
PAT143459,PAT1401491
PAT143460,PAT1401492
PAT143461,PAT1401493
PAT143462,PAT1401494
PAT143463,PAT1401495
PAT143464,PAT1401496
PAT143465,PAT1401497
PAT143466,PAT1401498
PAT143467,PAT1401499
PAT143468,PAT1401500
PAT143469,PAT1401501
PAT143470,PAT1401502
PAT143471,PAT1401503
PAT143472,PAT1401504
PAT143473,PAT1401505
PAT143474,PAT1401506
PAT143475,PAT1401507
PAT143476,PAT1401508
PAT143477,PAT1401509
PAT143478,PAT1401510
PAT143479,PAT1401511
PAT143480,PAT1401512
PAT143481,PAT1401513
PAT143482,PAT1401514
PAT143483,PAT1401515
PAT143484,PAT1401516
PAT143485,PAT1401517
PAT143486,PAT1401518
PAT143487,PAT1401519
PAT143488,PAT1401520
PAT143489,PAT1401521
PAT143490,PAT1401522
PAT143491,PAT1401523
PAT143492,PAT1401524
PAT143493,PAT1401525
PAT143494,PAT1401526
PAT143495,PAT1401527
PAT143496,PAT1401528
PAT143497,PAT1401529
PAT143498,PAT1401530
PAT143499,PAT1401531
PAT143500,PAT1401532
PAT143501,PAT1401533
PAT143502,PAT1401534
PAT143503,PAT1401535
PAT143504,PAT1401536
PAT143505,PAT1401537
PAT143506,PAT1401538
PAT143507,PAT1401539
PAT143508,PAT1401540
PAT143509,PAT1401541
PAT143510,PAT1401542
PAT143511,PAT1401543
PAT143512,PAT1401544
PAT143513,PAT1401545
PAT143514,PAT1401546
PAT143515,PAT1401547
PAT143516,PAT1401548
PAT143517,PAT1401549
PAT143518,PAT1401550
PAT143519,PAT1401551
PAT143520,PAT1401552
PAT143521,PAT1401553
PAT143522,PAT1401554
PAT143523,PAT1401555
PAT143524,PAT1401556
PAT143525,PAT1401557
PAT143526,PAT1401558
PAT143527,PAT1401559
PAT143528,PAT1401560
PAT143529,PAT1401561
PAT143530,PAT1401562
PAT143531,PAT1401563
PAT143532,PAT1401564
PAT143533,PAT1401565
PAT143534,PAT1401566
PAT143535,PAT1401567
PAT143536,PAT1401568
PAT143537,PAT1401569
PAT143538,PAT1401570
PAT143539,PAT1401571
PAT143540,PAT1401572
PAT143541,PAT1401573
PAT143542,PAT1401574
PAT143543,PAT1401575
PAT143544,PAT1401576
PAT143545,PAT1401577
PAT143546,PAT1401578
PAT143547,PAT1401579
PAT143548,PAT1401580
PAT143549,PAT1401581
PAT143550,PAT1401582
PAT143551,PAT1401583
PAT143552,PAT1401584
PAT143553,PAT1401585
PAT143554,PAT1401586
PAT143555,PAT1401587
PAT143556,PAT1401588
PAT143557,PAT1401589
PAT143558,PAT1401590
PAT143559,PAT1401591
PAT143560,PAT1401592
PAT143561,PAT1401593
PAT143562,PAT1401594
PAT143563,PAT1401595
PAT143564,PAT1401596
PAT143565,PAT1401597
PAT143566,PAT1401598
PAT143567,PAT1401599
PAT143568,PAT1401600
PAT143569,PAT1401601
PAT143570,PAT1401602
PAT143571,PAT1401603
PAT143572,PAT1401604
PAT143573,PAT1401605
PAT143574,PAT1401606
PAT143575,PAT1401607
PAT143576,PAT1401608
PAT143577,PAT1401609
PAT143578,PAT1401610
PAT143579,PAT1401611
